date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZA12JTF9,ST8000DM002,8001563222016,0,102608816.0,24.0,0.0,3637806481.0,56710.0,24.0,0.0,0.0,32.0,10142.0,13.0,65087.0,32.0,102608816.0,0.0,0.0,0.0,56638.0,105106153200.0,411520067926.0
2023-01-10,ZA12JTFA,ST8000DM002,8001563222016,0,9306480.0,8.0,0.0,3453828964.0,56493.0,8.0,0.0,0.0,39.0,40872.0,1.0,28208.0,39.0,9306480.0,0.0,0.0,0.0,56426.0,101099480872.0,476251309644.0
2023-01-10,ZA12JTFD,ST8000DM002,8001563222016,0,169530440.0,8.0,0.0,2956255432.0,56492.0,8.0,0.0,0.0,36.0,40528.0,3.0,25281.0,36.0,169530440.0,0.0,0.0,0.0,56425.0,101465976256.0,495156729156.0
2023-01-10,ZA12JTFE,ST8000DM002,8001563222016,0,147839592.0,14.0,0.0,2907403319.0,55029.0,14.0,3.0,0.0,39.0,22343.0,3.0,66482.0,39.0,147839592.0,0.0,0.0,0.0,54974.0,102081192592.0,429158307272.0
2023-01-10,ZA12JTFF,ST8000DM002,8001563222016,0,228637104.0,24.0,0.0,3058532665.0,56712.0,24.0,0.0,0.0,38.0,17750.0,12.0,61309.0,38.0,228637104.0,0.0,0.0,0.0,56637.0,103779908520.0,413682576028.0
2023-01-10,ZA12JTFG,ST8000DM002,8001563222016,0,243991736.0,24.0,0.0,3150616070.0,56703.0,24.0,0.0,0.0,40.0,38900.0,11.0,55660.0,40.0,243991736.0,0.0,0.0,0.0,56639.0,103677928440.0,444745954352.0
2023-01-10,ZA12JTFH,ST8000DM002,8001563222016,0,194144528.0,24.0,0.0,3710517689.0,56709.0,24.0,0.0,0.0,32.0,20403.0,12.0,72726.0,32.0,194144528.0,0.0,0.0,0.0,56632.0,103712054848.0,435433752244.0
2023-01-10,ZA12JTFJ,ST8000DM002,8001563222016,0,183009128.0,24.0,0.0,3715119487.0,56707.0,24.0,0.0,0.0,40.0,43370.0,11.0,67010.0,40.0,183009128.0,0.0,0.0,0.0,56639.0,104284837088.0,454653042000.0
2023-01-10,ZA12JTFK,ST8000DM002,8001563222016,0,216775600.0,8.0,0.0,3918820566.0,56483.0,8.0,0.0,0.0,26.0,8929.0,3.0,30842.0,26.0,216775600.0,0.0,0.0,0.0,56420.0,99431686704.0,487266947432.0
2023-01-10,ZA12JTFL,ST8000DM002,8001563222016,0,201274536.0,33.0,0.0,4029202460.0,56690.0,33.0,4.0,0.0,50.0,25898.0,13.0,67733.0,50.0,201274536.0,0.0,0.0,0.0,56623.0,105785447496.0,432247995996.0
