date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-07,ZJV36A2L,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,86.0,67.0,100.0,63.0,100.0,37.0,81.0
2023-01-08,ZJV36A2L,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,86.0,67.0,100.0,63.0,100.0,37.0,82.0
2023-01-09,ZJV36A2L,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,86.0,67.0,100.0,65.0,100.0,35.0,80.0
2023-01-10,ZJV36A2L,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,86.0,67.0,100.0,62.0,100.0,38.0,77.0
2023-01-01,ZJV36SAV,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,83.0,68.0,100.0,62.0,100.0,38.0,80.0
2023-01-02,ZJV36SAV,ST12000NM0007,12000138625024,0,75.0,89.0,100.0,83.0,68.0,100.0,63.0,100.0,37.0,75.0
2023-01-03,ZJV36SAV,ST12000NM0007,12000138625024,0,76.0,89.0,100.0,83.0,68.0,100.0,62.0,100.0,38.0,76.0
2023-01-04,ZJV36SAV,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,83.0,68.0,100.0,62.0,100.0,38.0,84.0
2023-01-05,ZJV36SAV,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,83.0,68.0,100.0,63.0,100.0,37.0,81.0
2023-01-06,ZJV36SAV,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,83.0,67.0,100.0,62.0,100.0,38.0,79.0
2023-01-07,ZJV36SAV,ST12000NM0007,12000138625024,0,76.0,89.0,100.0,84.0,67.0,100.0,61.0,100.0,39.0,76.0
2023-01-08,ZJV36SAV,ST12000NM0007,12000138625024,0,72.0,89.0,100.0,84.0,67.0,100.0,62.0,100.0,38.0,72.0
2023-01-09,ZJV36SAV,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,84.0,67.0,100.0,62.0,100.0,38.0,80.0
