date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZJV0NPT1,ST12000NM0007,12000138625024,0,71562888.0,2.0,5904.0,60291462.0,30081.0,2.0,31.0,0.0,27.0,332.0,1298.0,27.0,71562888.0,0.0,0.0,0.0,29933.0,95150964232.0,366102786212.0
2023-01-10,ZJV0NS7L,ST12000NM0007,12000138625024,0,11094016.0,5.0,0.0,671166512.0,29285.0,5.0,0.0,0.0,28.0,372.0,1239.0,28.0,11094016.0,0.0,0.0,0.0,29148.0,90217231792.0,335575844654.0
2023-01-10,ZJV0NSB2,ST12000NM0007,12000138625024,0,108685536.0,2.0,0.0,71416840.0,29307.0,2.0,0.0,0.0,18.0,314.0,1313.0,18.0,108685536.0,0.0,0.0,0.0,29152.0,94225733312.0,332641314116.0
2023-01-10,ZJV0P40A,ST12000NM0007,12000138625024,0,235536968.0,53.0,0.0,149874948.0,28999.0,53.0,0.0,0.0,26.0,382.0,1802.0,26.0,235536968.0,0.0,0.0,0.0,28751.0,95888441072.0,393117062777.0
2023-01-10,ZJV0R43D,ST12000NM0007,12000138625024,0,108282848.0,4.0,0.0,428092542.0,28137.0,4.0,0.0,0.0,29.0,346.0,1183.0,29.0,108282848.0,0.0,0.0,1.0,27962.0,122290060528.0,329395865406.0
2023-01-10,ZJV0RYMQ,ST12000NM0007,12000138625024,0,8245656.0,46.0,6952.0,502467859.0,28653.0,46.0,12.0,0.0,29.0,349.0,1685.0,29.0,8245656.0,16.0,16.0,0.0,28450.0,96079974392.0,433225689670.0
2023-01-10,ZJV0S6N8,ST12000NM0007,12000138625024,0,126365456.0,5.0,0.0,951188965.0,24953.0,5.0,0.0,0.0,36.0,304.0,1146.0,36.0,126365456.0,0.0,0.0,0.0,24821.0,76187076520.0,272085138628.0
2023-01-10,ZJV0S850,ST12000NM0007,12000138625024,0,22125448.0,3.0,0.0,131331374.0,30917.0,3.0,0.0,4295032833.0,25.0,336.0,1381.0,25.0,22125448.0,0.0,0.0,0.0,30764.0,96530483792.0,381519514538.0
2023-01-10,ZJV0YDXY,ST12000NM0007,12000138625024,0,204558160.0,24.0,13656.0,579678925.0,28986.0,24.0,7.0,0.0,40.0,368.0,1560.0,40.0,204558160.0,0.0,0.0,0.0,28753.0,96477433112.0,462077423214.0
2023-01-10,ZJV116XH,ST12000NM0007,12000138625024,0,216235056.0,50.0,0.0,419807080.0,29013.0,50.0,0.0,0.0,29.0,417.0,2125.0,29.0,216235056.0,0.0,0.0,0.0,28696.0,96116311512.0,446336775040.0
