date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2023-01-10,ZA103GPG,ST8000DM002,8001563222016,0,81.0,88.0,100.0,100.0,90.0,60.0,97.0,68.0,97.0,71.0,32.0,1.0,100.0,100.0
2023-01-10,ZA103M93,ST8000DM002,8001563222016,0,83.0,84.0,100.0,100.0,85.0,39.0,100.0,71.0,94.0,71.0,29.0,1.0,100.0,100.0
2023-01-10,ZA103RSE,ST8000DM002,8001563222016,0,80.0,92.0,100.0,100.0,93.0,34.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0
2023-01-10,ZA103RX8,ST8000DM002,8001563222016,0,76.0,84.0,100.0,100.0,93.0,36.0,100.0,62.0,100.0,100.0,38.0,1.0,100.0,100.0
2023-01-10,ZA103VQY,ST8000DM002,8001563222016,0,100.0,84.0,100.0,100.0,94.0,35.0,100.0,80.0,100.0,100.0,20.0,100.0,100.0,100.0
2023-01-10,ZA103XM0,ST8000DM002,8001563222016,0,75.0,85.0,100.0,100.0,91.0,41.0,100.0,56.0,90.0,69.0,44.0,1.0,100.0,100.0
2023-01-10,ZA1044QJ,ST8000DM002,8001563222016,0,83.0,85.0,100.0,100.0,93.0,41.0,100.0,69.0,90.0,62.0,31.0,1.0,100.0,100.0
2023-01-10,ZA10482F,ST8000DM002,8001563222016,0,77.0,84.0,100.0,100.0,93.0,34.0,100.0,73.0,100.0,100.0,27.0,1.0,100.0,100.0
2023-01-10,ZA104GCK,ST8000DM002,8001563222016,0,83.0,84.0,100.0,100.0,90.0,45.0,100.0,51.0,95.0,61.0,49.0,1.0,100.0,100.0
2023-01-10,ZA104H70,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,91.0,41.0,100.0,68.0,84.0,65.0,32.0,1.0,100.0,100.0
2023-01-10,ZA104NJ4,ST8000DM002,8001563222016,0,74.0,88.0,100.0,100.0,94.0,35.0,100.0,77.0,100.0,100.0,23.0,1.0,100.0,100.0
2023-01-10,ZA104NJH,ST8000DM002,8001563222016,0,77.0,84.0,100.0,100.0,89.0,54.0,100.0,67.0,96.0,66.0,33.0,1.0,100.0,100.0
2023-01-10,ZA104QME,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,93.0,39.0,100.0,67.0,85.0,66.0,33.0,1.0,100.0,100.0
2023-01-10,ZA104RC6,ST8000DM002,8001563222016,0,79.0,84.0,100.0,100.0,92.0,41.0,100.0,59.0,88.0,62.0,41.0,1.0,100.0,100.0
